CSI_DATA,1084,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48593726,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-6,3,-7,6,-7,8,-7,10,-6,11,-5,12,-4,12,-2,12,-1,11,-1,10,0,8,0,7,0,5,-1,3,-1,2,-2,1,-3,-1,-5,-1,-6,-2,-7,-2,-7,-2,-8,-2,-9,-2,-9,-2,-9,-2,0,0,-9,-3,-8,-4,-8,-5,-7,-5,-6,-5,-5,-6,-4,-6,-4,-7,-2,-6,-2,-6,0,-6,1,-6,2,-5,3,-5,5,-5,6,-4,7,-4,8,-4,9,-4,10,-4,10,-3,10,-3,9,-2,8,-2,7,-2,5,-1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1085,68:dd:b7:b0:aa:3f,-38,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48594269,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,-4,-7,-6,-8,-8,-8,-10,-8,-12,-6,-12,-6,-13,-4,-13,-3,-12,-2,-11,-1,-10,-1,-8,0,-6,0,-4,0,-3,-2,-1,-3,0,-4,1,-4,1,-5,2,-7,2,-7,2,-8,2,-9,2,-9,2,-9,0,0,3,-9,4,-8,4,-7,5,-6,5,-6,5,-4,5,-4,5,-3,6,-2,5,-1,5,0,5,1,4,3,4,4,3,5,3,6,2,7,2,8,1,9,1,10,1,10,0,10,0,9,0,8,-1,7,-1,6,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1086,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48665050,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-5,14,-4,14,-4,14,-3,13,-1,11,0,10,0,7,1,4,0,2,0,-1,-1,-3,-2,-5,-3,-7,-4,-9,-5,-10,-6,-11,-7,-11,-8,-11,-9,-11,-9,-10,-9,-9,-8,-8,-7,-6,-5,-6,-4,-5,-2,-3,0,0,2,-1,4,0,7,0,8,1,10,2,11,2,11,2,12,2,11,2,11,2,10,3,9,3,7,3,5,3,4,3,2,3,0,3,-2,3,-4,3,-6,3,-7,3,-8,2,-9,1,-10,1,-10,0,-9,-1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1087,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48699883,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,2,-3,5,-2,8,-1,11,0,12,1,13,3,15,4,15,5,14,5,14,6,13,6,10,6,8,5,6,4,5,2,3,0,1,-2,-1,-4,-2,-6,-2,-9,-3,-11,-3,-12,-3,-14,-3,-15,-3,0,0,-15,-2,-15,-2,-13,-2,-13,-3,-10,-2,-8,-2,-6,-3,-3,-3,-1,-4,1,-5,3,-6,5,-6,7,-6,8,-7,10,-7,10,-7,11,-7,11,-6,11,-6,11,-5,11,-4,9,-2,8,-1,6,0,5,2,3,3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1088,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48736537,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-13,8,-13,8,-12,8,-11,8,-9,7,-7,6,-5,4,-3,3,-1,1,1,-1,3,-2,4,-4,5,-6,6,-8,6,-9,6,-10,6,-11,6,-12,6,-12,5,-12,4,-11,4,-10,3,-8,2,-7,2,-5,1,-3,0,0,0,2,-1,4,-2,6,-2,8,-2,10,-3,11,-3,12,-3,12,-3,12,-4,11,-4,10,-4,9,-3,8,-3,6,-3,4,-3,2,-3,0,-2,-3,-2,-5,-1,-7,0,-8,0,-10,2,-11,2,-11,3,-10,4,-9,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1089,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48775931,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,3,-4,4,-7,4,-10,3,-13,3,-14,2,-16,1,-17,0,-17,0,-17,-1,-16,-2,-14,-3,-12,-3,-9,-2,-8,-2,-5,-1,-3,0,0,2,2,3,4,4,5,6,7,8,8,9,9,10,10,0,0,10,10,10,9,9,9,8,9,7,7,5,6,2,5,0,3,-2,3,-4,2,-6,1,-8,-1,-9,-2,-11,-2,-12,-3,-13,-4,-13,-5,-13,-6,-13,-6,-12,-6,-10,-7,-8,-7,-6,-7,-4,-6,-2,-6,0,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1090,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48776049,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-3,-1,-5,3,-6,5,-7,8,-7,11,-7,13,-6,14,-6,15,-4,16,-4,15,-3,15,-1,13,-1,11,0,9,0,8,0,5,0,2,-1,-1,-2,-3,-3,-6,-4,-8,-6,-9,-7,-11,-8,-12,-9,-13,0,0,-9,-13,-9,-12,-8,-12,-7,-12,-6,-9,-4,-8,-2,-6,0,-5,1,-4,3,-2,6,0,7,1,8,3,10,4,11,5,11,6,11,7,11,7,11,8,10,8,8,8,6,7,4,7,1,6,0,5,-2,4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1091,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48860018,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,7,-15,6,-15,5,-14,4,-14,3,-12,1,-10,1,-8,0,-6,-1,-3,-1,0,-1,2,-1,5,0,7,1,9,2,11,2,11,4,12,4,12,5,12,4,11,5,11,4,9,4,7,3,6,1,4,0,2,0,0,-4,-1,-6,-3,-7,-4,-9,-5,-10,-6,-11,-7,-11,-8,-11,-8,-11,-8,-10,-7,-9,-7,-8,-7,-7,-6,-5,-6,-3,-5,-1,-5,1,-4,3,-3,5,-2,7,-2,8,-1,9,0,9,1,9,1,9,2,8,3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1092,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48860136,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-2,-3,-4,-5,-7,-6,-10,-7,-12,-7,-13,-7,-15,-6,-16,-6,-17,-5,-16,-4,-15,-3,-14,-2,-12,-1,-10,-1,-7,-1,-4,-1,-2,-1,1,-1,3,-2,5,-4,8,-4,9,-6,11,-6,12,-7,12,-8,0,0,12,-8,11,-8,10,-7,9,-6,8,-5,6,-3,4,-1,2,1,1,3,-1,5,-2,6,-3,8,-5,9,-5,9,-7,10,-7,10,-7,11,-8,10,-8,9,-7,8,-7,6,-7,4,-6,2,-5,0,-5,-2,-4,-3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1093,68:dd:b7:b0:aa:3f,-29,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48928545,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-6,14,-6,15,-5,14,-4,13,-3,12,-1,10,-1,7,0,5,0,2,0,-1,0,-4,-1,-6,-1,-8,-3,-10,-3,-11,-5,-12,-6,-13,-7,-13,-7,-13,-7,-12,-6,-11,-6,-10,-5,-8,-4,-7,-3,-5,-1,-3,0,0,3,0,5,1,6,2,8,3,10,5,11,5,11,6,11,6,11,5,10,6,9,5,8,5,6,5,4,4,3,4,1,3,-1,3,-3,2,-6,1,-7,1,-9,0,-10,0,-11,-2,-11,-2,-10,-3,-10,-3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1094,68:dd:b7:b0:aa:3f,-29,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,48929025,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-10,13,-9,13,-9,13,-7,12,-6,11,-4,9,-3,7,-2,4,-1,2,0,-1,0,-3,1,-6,1,-8,0,-10,0,-12,-1,-13,-2,-14,-3,-14,-3,-14,-3,-13,-4,-12,-3,-11,-3,-9,-3,-7,-2,-5,0,-3,0,0,2,1,4,3,5,4,7,6,7,7,8,8,9,9,9,9,8,9,8,9,7,8,6,7,4,7,3,6,1,4,-1,3,-2,2,-4,1,-6,0,-7,-1,-8,-3,-9,-4,-10,-5,-10,-5,-9,-6,-8,-6,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1095,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49001545,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,3,-2,6,-2,8,-1,11,0,13,1,14,2,15,3,15,3,16,4,15,4,13,5,12,4,9,4,7,3,5,1,3,0,1,-1,-2,-3,-4,-5,-6,-6,-7,-8,-8,-9,-10,-10,-10,-11,-11,0,0,-11,-11,-11,-10,-10,-9,-9,-9,-7,-8,-5,-6,-3,-5,-1,-3,1,-3,4,-1,6,0,7,2,8,3,9,4,10,6,10,6,11,7,10,8,10,8,9,8,7,8,5,7,3,6,1,5,-1,4,-2,2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1096,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49002025,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-3,2,-4,5,-4,8,-4,10,-3,12,-3,14,-2,15,-1,16,0,16,0,15,1,14,1,12,2,10,2,8,1,6,1,3,0,1,-1,-2,-2,-4,-3,-6,-5,-8,-6,-10,-7,-11,-8,-12,-9,-13,0,0,-9,-13,-9,-12,-8,-12,-7,-11,-5,-9,-3,-7,-2,-5,0,-3,2,-2,3,0,5,2,6,4,7,5,8,6,9,8,9,8,9,9,9,9,8,10,7,10,5,9,3,8,2,6,0,5,-2,4,-3,2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1097,68:dd:b7:b0:aa:3f,-32,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49074976,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,3,2,6,2,9,2,12,2,13,1,15,0,15,-2,16,-2,15,-4,14,-4,13,-5,11,-5,9,-5,6,-4,4,-3,3,-1,1,0,-1,3,-2,4,-3,7,-3,9,-4,11,-4,12,-3,13,0,0,-3,14,-2,15,-2,13,-2,12,-2,10,-3,9,-3,7,-4,4,-5,1,-5,-1,-6,-3,-7,-4,-7,-6,-8,-8,-9,-9,-9,-9,-9,-11,-8,-11,-8,-11,-7,-11,-6,-11,-5,-10,-4,-9,-3,-8,0,-7,1,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1098,68:dd:b7:b0:aa:3f,-32,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49110311,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-8,13,-7,14,-6,14,-5,13,-3,11,-2,9,-1,6,-1,4,-1,1,-2,0,-2,-3,-3,-5,-5,-7,-6,-8,-8,-9,-9,-9,-10,-9,-11,-8,-11,-8,-11,-7,-11,-6,-10,-5,-8,-4,-7,-4,-6,-3,-3,-4,0,0,1,-4,3,-5,5,-5,7,-6,8,-7,9,-7,10,-7,10,-8,10,-8,9,-7,9,-7,8,-6,8,-5,7,-4,6,-2,5,-1,4,1,3,3,3,4,2,6,1,7,1,8,0,9,-1,9,-1,10,-2,9,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1099,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49145704,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-13,-10,-13,-9,-13,-7,-12,-5,-10,-4,-9,-3,-7,-2,-5,-2,-2,-2,1,-2,3,-2,5,-3,7,-4,8,-6,9,-7,9,-8,9,-10,8,-11,7,-10,6,-10,5,-10,4,-9,4,-8,3,-6,2,-4,3,-3,0,0,3,2,3,4,4,6,5,8,5,9,6,10,6,11,6,11,7,11,6,10,6,10,4,9,3,8,2,7,1,6,0,5,-3,4,-4,3,-6,3,-8,2,-10,1,-10,0,-11,-1,-11,-2,-12,-2,-11,-3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1100,68:dd:b7:b0:aa:3f,-31,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49182446,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,14,-7,13,-8,11,-9,9,-9,7,-8,5,-7,3,-5,2,-4,1,-1,0,1,0,3,1,5,1,8,2,9,4,10,5,11,6,11,7,10,8,10,8,8,8,7,7,7,6,6,5,4,3,3,1,4,0,0,-3,4,-6,3,-8,4,-9,5,-10,5,-11,6,-12,6,-12,6,-12,6,-12,6,-11,5,-10,5,-9,4,-8,2,-8,1,-7,-1,-6,-2,-6,-4,-5,-6,-4,-8,-3,-9,-2,-10,-2,-11,-1,-11,-1,-11,0,-11,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1101,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49220341,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3,0,-7,-1,-10,-2,-12,-3,-13,-5,-15,-6,-16,-8,-15,-9,-14,-10,-13,-10,-12,-10,-10,-9,-8,-7,-6,-5,-5,-3,-4,-1,-3,2,-3,4,-3,7,-4,8,-5,10,-7,10,-8,11,-9,11,-10,0,0,11,-10,10,-10,9,-9,8,-8,7,-6,6,-4,6,-2,5,0,5,2,5,4,5,6,4,8,5,9,5,10,5,11,5,11,5,12,4,12,4,12,3,11,2,10,0,9,-1,8,-2,7,-4,5,-5,4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1102,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49221215,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,15,2,15,0,14,-1,12,-3,10,-3,9,-3,6,-2,4,-2,2,0,-1,1,-2,3,-3,5,-4,7,-4,9,-3,11,-3,12,-2,13,-1,13,0,13,1,12,1,11,1,9,1,8,0,6,-1,4,-2,3,0,0,-6,1,-7,0,-9,-1,-11,-2,-12,-2,-13,-2,-13,-3,-13,-2,-13,-2,-12,-2,-12,-2,-10,-3,-9,-3,-7,-4,-6,-4,-5,-5,-3,-6,-2,-7,0,-7,1,-8,3,-9,4,-9,5,-9,5,-9,6,-8,6,-7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1103,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49295520,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,1,2,0,5,-2,8,-4,9,-6,11,-8,12,-9,13,-10,12,-11,11,-11,11,-12,9,-11,7,-10,6,-9,4,-7,3,-5,1,-3,0,-1,-1,2,-2,5,-2,7,-3,9,-3,11,-3,12,-3,13,-3,14,0,0,-3,14,-2,12,-3,11,-2,9,-3,7,-3,4,-3,2,-3,-1,-3,-3,-3,-5,-3,-8,-3,-9,-3,-10,-3,-11,-3,-12,-3,-13,-2,-12,-1,-13,-1,-12,0,-10,1,-9,2,-7,3,-5,3,-3,3,-1,3,1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1104,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49332874,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-9,13,-8,13,-8,13,-7,11,-6,11,-4,8,-2,6,-1,4,0,2,1,-1,2,-3,2,-6,3,-8,3,-10,3,-11,3,-12,2,-13,1,-13,1,-13,1,-13,0,-12,0,-11,0,-9,0,-7,0,-5,0,-2,0,0,0,3,0,5,0,7,1,9,1,10,1,12,1,12,0,12,0,12,0,11,-1,10,-1,9,-2,7,-2,5,-3,3,-3,1,-3,-1,-3,-3,-3,-5,-3,-7,-3,-9,-2,-10,-1,-11,0,-11,1,-10,1,-9,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1105,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49332991,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,12,-10,11,-11,10,-11,9,-11,7,-9,5,-8,3,-7,1,-5,0,-3,-2,-1,-3,1,-5,4,-6,5,-6,7,-7,9,-7,10,-6,11,-6,11,-6,12,-5,11,-4,10,-4,9,-3,7,-3,6,-2,3,-2,1,0,0,-1,-4,0,-6,1,-8,1,-10,1,-12,2,-13,2,-13,2,-13,2,-12,3,-12,3,-10,3,-9,3,-7,3,-5,2,-3,2,-1,2,1,1,3,1,5,0,7,-1,8,-2,9,-3,9,-4,9,-4,8,-5,7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1106,68:dd:b7:b0:aa:3f,-29,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49409133,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,6,-15,5,-14,5,-14,3,-13,2,-12,1,-10,0,-8,-1,-5,-1,-2,-1,0,-2,3,-2,5,-1,8,0,9,0,11,1,12,2,12,3,12,3,12,3,11,3,10,3,9,3,7,2,5,1,3,0,1,0,0,-3,-3,-5,-5,-6,-6,-7,-8,-8,-9,-9,-10,-9,-11,-9,-11,-9,-10,-8,-10,-7,-9,-5,-8,-4,-7,-2,-6,-1,-5,1,-3,3,-2,4,0,6,1,7,3,7,4,8,6,8,6,7,7,6,7,5,7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1107,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49439715,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,14,2,15,1,14,0,13,-1,11,-1,9,-2,6,-1,4,-1,1,-1,-2,-1,-4,0,-6,1,-8,2,-9,3,-10,5,-11,5,-11,7,-11,7,-11,8,-10,8,-8,7,-7,6,-6,5,-5,4,-3,2,-2,0,0,0,0,-4,1,-6,2,-9,2,-10,3,-12,4,-13,4,-13,4,-13,4,-12,4,-11,4,-10,3,-8,3,-7,3,-4,3,-3,3,-1,2,2,2,4,2,6,1,8,1,9,0,9,-1,10,-1,10,-2,10,-3,8,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1108,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49478051,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-2,2,-6,2,-8,2,-11,2,-13,1,-15,0,-16,-1,-17,-2,-16,-3,-16,-4,-15,-4,-13,-4,-11,-4,-8,-3,-7,-2,-4,0,-2,2,0,4,2,6,3,8,4,10,4,12,4,13,4,14,4,0,0,14,3,13,3,12,2,10,2,7,2,5,2,3,3,0,3,-2,4,-5,4,-7,5,-8,6,-10,6,-11,6,-12,7,-12,7,-12,6,-12,6,-12,5,-11,4,-10,2,-8,0,-6,-1,-5,-3,-4,-4,-2,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1109,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49478169,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,14,6,14,5,14,4,12,2,11,1,9,1,7,0,5,0,2,0,-1,0,-3,1,-6,2,-8,3,-9,5,-10,6,-11,7,-11,8,-10,9,-10,9,-9,9,-8,8,-7,8,-6,6,-4,4,-4,3,-3,0,0,0,-2,-4,-2,-7,-2,-9,-3,-11,-2,-12,-3,-13,-2,-14,-2,-14,-3,-14,-2,-13,-2,-11,-1,-10,0,-8,0,-7,1,-5,3,-3,4,-1,5,0,6,2,7,4,8,5,8,6,8,7,7,7,7,7,5,7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1110,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49551219,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-16,-4,-16,-3,-15,-1,-13,-1,-12,0,-10,0,-8,0,-5,0,-2,-1,0,-2,2,-3,4,-5,6,-6,7,-8,7,-9,7,-10,7,-11,7,-12,6,-12,5,-11,4,-10,3,-9,3,-8,2,-6,2,-3,2,-1,0,0,3,3,3,6,3,8,4,9,4,10,5,11,5,11,5,11,5,11,4,10,4,8,2,7,1,6,0,4,-2,4,-3,2,-5,1,-6,0,-8,-1,-9,-2,-10,-3,-11,-4,-11,-4,-10,-4,-9,-5,-8,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1111,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49585320,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-7,-1,-9,-1,-12,0,-14,1,-15,2,-16,2,-16,4,-16,4,-15,5,-14,5,-12,5,-9,4,-7,3,-5,2,-3,0,-1,-2,0,-4,1,-6,2,-8,3,-10,3,-12,3,-13,3,-14,2,-15,0,0,1,-14,1,-13,1,-12,1,-10,1,-8,1,-5,2,-3,3,0,4,2,4,4,5,6,6,8,6,9,6,9,7,10,7,10,7,10,6,9,5,9,4,8,2,7,0,5,-2,4,-3,3,-5,1,-6,0,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1112,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49621984,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2,-3,5,-4,8,-4,10,-4,12,-3,13,-3,15,-2,15,-1,15,0,14,1,13,1,11,1,9,1,7,0,5,0,2,-2,0,-3,-2,-4,-4,-6,-5,-8,-7,-10,-7,-10,-7,-11,-8,-12,-8,0,0,-12,-7,-11,-6,-10,-6,-9,-5,-6,-4,-4,-4,-2,-3,1,-3,3,-3,5,-3,6,-3,8,-3,10,-3,11,-3,11,-3,12,-3,11,-2,11,-2,10,-1,9,-1,8,0,5,1,3,2,2,3,0,4,-1,4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1113,68:dd:b7:b0:aa:3f,-28,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49622459,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-8,-14,-9,-13,-9,-12,-9,-10,-8,-9,-7,-7,-5,-5,-4,-3,-2,-2,1,0,3,1,5,1,8,2,9,2,10,1,12,1,12,0,12,-1,12,-1,11,-2,9,-2,8,-2,7,-2,5,-1,3,0,1,1,0,0,-2,3,-4,5,-6,6,-7,7,-7,8,-8,9,-8,9,-8,9,-7,9,-7,8,-7,7,-6,5,-5,3,-5,2,-4,1,-3,-1,-3,-3,-3,-5,-2,-7,-2,-8,-1,-10,0,-10,0,-11,1,-10,1,-10,2,-9,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1114,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49698556,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,5,-15,4,-15,3,-14,2,-13,1,-11,0,-9,0,-7,-1,-4,-1,-1,-1,1,-1,3,0,6,0,8,1,9,2,11,2,11,3,11,4,11,4,11,4,10,4,9,4,8,3,6,2,4,1,3,-1,1,0,0,-4,-2,-6,-4,-7,-5,-8,-6,-9,-7,-10,-7,-10,-8,-10,-8,-10,-8,-9,-7,-8,-6,-6,-6,-5,-6,-3,-5,-1,-4,0,-3,2,-3,4,-2,5,-1,7,0,8,1,9,2,9,3,8,3,8,4,7,4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1115,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,1,-97,0,11,2,49702190,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,-1,-7,-3,-10,-4,-11,-6,-13,-6,-14,-8,-14,-8,-14,-9,-13,-9,-12,-9,-11,-9,-9,-7,-7,-6,-5,-4,-4,-2,-2,0,-1,2,1,4,2,6,2,8,3,10,3,12,3,13,3,13,3,0,0,12,3,12,2,10,2,8,2,7,2,4,2,2,2,-1,2,-3,2,-5,2,-7,3,-9,2,-10,2,-11,2,-12,2,-13,2,-12,1,-12,0,-12,-1,-10,-1,-9,-2,-7,-3,-5,-3,-3,-4,-1,-5,1,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1116,68:dd:b7:b0:aa:3f,-29,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49772218,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,1,-17,0,-16,-1,-15,-2,-14,-2,-12,-3,-10,-3,-7,-2,-4,-2,-2,0,1,0,3,2,6,3,8,4,8,5,9,7,10,8,10,9,10,9,9,8,8,8,7,7,6,6,5,4,4,2,2,0,1,0,0,-5,-1,-7,-1,-9,-2,-11,-2,-12,-3,-13,-3,-13,-4,-13,-4,-13,-3,-12,-4,-10,-4,-9,-4,-7,-4,-5,-4,-3,-4,-1,-4,2,-4,4,-4,6,-4,8,-4,9,-3,10,-3,11,-2,10,-1,10,0,8,1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1117,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49826548,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,9,12,9,12,9,11,9,9,8,7,7,6,5,4,3,2,1,0,-1,-2,-3,-3,-6,-5,-8,-6,-9,-6,-11,-7,-12,-7,-13,-7,-13,-6,-13,-6,-12,-5,-11,-4,-9,-4,-8,-3,-6,-2,-3,-2,-1,-1,0,0,4,-1,6,0,9,0,11,0,12,0,13,0,13,0,13,1,12,1,11,1,10,1,8,1,6,2,3,2,2,2,-1,2,-4,2,-5,2,-8,2,-9,2,-11,1,-11,0,-12,0,-12,-1,-11,-2,-9,-2,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1118,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49854652,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,1,3,1,6,0,9,-1,11,-1,13,-2,14,-4,15,-4,15,-5,15,-5,14,-6,13,-6,11,-5,8,-5,6,-4,4,-3,1,-2,-1,-1,-4,1,-6,3,-7,5,-9,6,-10,8,-11,9,-12,9,-12,10,0,0,-11,9,-10,8,-9,7,-8,6,-6,4,-4,1,-3,-1,-1,-3,1,-5,3,-7,4,-8,5,-9,6,-10,7,-10,8,-11,8,-11,8,-10,8,-10,8,-8,7,-6,6,-4,5,-2,3,0,1,2,0,3,-2,4,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,1119,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,49904843,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,15,4,15,3,14,2,13,1,11,1,9,0,6,0,4,-1,1,-1,-2,-1,-4,-1,-7,0,-10,0,-11,1,-13,2,-14,2,-14,2,-14,3,-13,4,-12,4,-11,4,-9,3,-8,3,-6,2,-3,1,-2,-1,0,0,3,-4,5,-5,7,-6,8,-8,9,-9,10,-9,10,-9,10,-9,10,-8,9,-8,8,-6,7,-5,5,-3,4,-2,3,0,1,2,-1,3,-3,5,-4,6,-6,7,-7,8,-8,8,-9,8,-9,7,-9,6,-9,4,0,0,0,0,0,0,0,0,0,0]
